id_посещения, id_ученика, id_предмета, дата, статус
1, 1, 1, 2025-06-01, Присутствовал
2, 2, 1, 2025-06-01, Присутствовал
3, 3, 2, 2025-06-01, Присутствовал
4, 4, 2, 2025-06-01, Опоздал
5, 5, 4, 2025-06-02, Присутствовал
6, 6, 4, 2025-06-02, Присутствовал
7, 1, 5, 2025-06-03, Присутствовал
8, 2, 5, 2025-06-03, Отсутствовал
9, 3, 7, 2025-06-04, Присутствовал
10, 4, 7, 2025-06-04, Присутствовал
11, 5, 11, 2025-06-05, Опоздал
12, 6, 11, 2025-06-05, Присутствовал
13, 1, 1, 2025-06-08, Присутствовал
14, 2, 1, 2025-06-08, Присутствовал
15, 3, 2, 2025-06-08, Отсутствовал
16, 4, 2, 2025-06-08, Присутствовал
17, 5, 4, 2025-06-09, Присутствовал
18, 6, 4, 2025-06-09, Присутствовал
